CSV file already exists: /data/juno/lin/agent/drsai-main/my_agent/stock_monitor/data/stock_data.csv
Loaded 647247 existing records for deduplication (by second)
### Connected ###
Saved: BINANCE:BTCUSDT | Price: 78474.06 | Volume: 0.00893 | Time: 2026-02-03 10:42:49.160
Saved: BINANCE:BTCUSDT | Price: 78474.05 | Volume: 0.01086 | Time: 2026-02-03 10:42:50.277
Saved: BINANCE:BTCUSDT | Price: 78474.06 | Volume: 0.00046 | Time: 2026-02-03 10:42:51.204
Saved: BINANCE:BTCUSDT | Price: 78474.05 | Volume: 0.00013 | Time: 2026-02-03 10:42:52.328
Saved: BINANCE:BTCUSDT | Price: 78474.05 | Volume: 0.01161 | Time: 2026-02-03 10:42:53.960
Saved: BINANCE:BTCUSDT | Price: 78474.06 | Volume: 0.00382 | Time: 2026-02-03 10:42:54.060
Saved: BINANCE:BTCUSDT | Price: 78474.05 | Volume: 0.00013 | Time: 2026-02-03 10:42:55.796
Saved: BINANCE:BTCUSDT | Price: 78474.06 | Volume: 0.06206 | Time: 2026-02-03 10:42:56.210
Saved: BINANCE:BTCUSDT | Price: 78474.06 | Volume: 7e-05 | Time: 2026-02-03 10:42:57.205
Saved: BINANCE:BTCUSDT | Price: 78474.05 | Volume: 0.02292 | Time: 2026-02-03 10:42:58.260
Saved: BINANCE:BTCUSDT | Price: 78482.89 | Volume: 0.00014 | Time: 2026-02-03 10:42:59.208
Saved: BINANCE:BTCUSDT | Price: 78489.03 | Volume: 0.05507 | Time: 2026-02-03 10:43:00.073
Saved: BINANCE:BTCUSDT | Price: 78474.54 | Volume: 0.014 | Time: 2026-02-03 10:43:01.313
Saved: BINANCE:BTCUSDT | Price: 78478.18 | Volume: 7e-05 | Time: 2026-02-03 10:43:02.016
Saved: BINANCE:BTCUSDT | Price: 78484.79 | Volume: 0.00779 | Time: 2026-02-03 10:43:03.283
